# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
702911,1000000000,1
273850,1000000000,1
196192,1000000000,1
227835,1000000000,1
225207,1000000000,1
192487,1000000000,1
207304,1000000000,1
209023,1000000000,1
192165,1000000000,1
205392,1000000000,1
192790,1000000000,1
207797,1000000000,1
192127,1000000000,1
192736,1000000000,1
192206,1000000000,1
206439,1000000000,1
193896,1000000000,1
191603,1000000000,1
212008,1000000000,1
192565,1000000000,1
193335,1000000000,1
192547,1000000000,1
193123,1000000000,1
206865,1000000000,1
192329,1000000000,1
190984,1000000000,1
191871,1000000000,1
192566,1000000000,1
192742,1000000000,1
192765,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
687385,800000000,1
200635,800000000,1
188080,800000000,1
226307,800000000,1
191810,800000000,1
225480,800000000,1
190944,800000000,1
206243,800000000,1
206719,800000000,1
192617,800000000,1
192463,800000000,1
192626,800000000,1
204276,800000000,1
206351,800000000,1
193163,800000000,1
192763,800000000,1
191852,800000000,1
191893,800000000,1
192118,800000000,1
204709,800000000,1
191870,800000000,1
208241,800000000,1
192270,800000000,1
192874,800000000,1
191894,800000000,1
191522,800000000,1
192182,800000000,1
191456,800000000,1
191762,800000000,1
192650,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
693984,600000000,1
196614,600000000,1
187740,600000000,1
227544,600000000,1
193314,600000000,1
193899,600000000,1
206633,600000000,1
191980,600000000,1
209591,600000000,1
206533,600000000,1
192088,600000000,1
192060,600000000,1
191285,600000000,1
206158,600000000,1
209423,600000000,1
192300,600000000,1
192238,600000000,1
192002,600000000,1
191732,600000000,1
191400,600000000,1
206285,600000000,1
192445,600000000,1
192110,600000000,1
191949,600000000,1
209282,600000000,1
192778,600000000,1
193203,600000000,1
192785,600000000,1
191606,600000000,1
192280,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
768621,400000000,1
201520,400000000,1
191004,400000000,1
224777,400000000,1
193360,400000000,1
191446,400000000,1
192385,400000000,1
222922,400000000,1
191395,400000000,1
191057,400000000,1
192654,400000000,1
191434,400000000,1
224977,400000000,1
192531,400000000,1
191682,400000000,1
192061,400000000,1
193163,400000000,1
191510,400000000,1
204855,400000000,1
209114,400000000,1
191192,400000000,1
192479,400000000,1
192662,400000000,1
191352,400000000,1
190965,400000000,1
191338,400000000,1
192349,400000000,1
193427,400000000,1
205619,400000000,1
191990,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
748383,200000000,1
196162,200000000,1
186755,200000000,1
191025,200000000,1
190621,200000000,1
192182,200000000,1
221303,200000000,1
191908,200000000,1
193633,200000000,1
192265,200000000,1
192828,200000000,1
191716,200000000,1
191470,200000000,1
218310,200000000,1
191672,200000000,1
191784,200000000,1
190329,200000000,1
191607,200000000,1
192853,200000000,1
191347,200000000,1
220070,200000000,1
191473,200000000,1
192025,200000000,1
195945,200000000,1
192254,200000000,1
192307,200000000,1
192642,200000000,1
191236,200000000,1
191384,200000000,1
191655,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
689467,0,1
189962,0,1
186570,0,1
186060,0,1
185984,0,1
187225,0,1
186413,0,1
186912,0,1
186505,0,1
186392,0,1
186776,0,1
186417,0,1
186285,0,1
186071,0,1
187000,0,1
186500,0,1
185899,0,1
186402,0,1
186461,0,1
186051,0,1
186178,0,1
186739,0,1
186546,0,1
186462,0,1
186009,0,1
186743,0,1
186536,0,1
186439,0,1
186129,0,1
186656,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
795320,200000001,1
199236,200000001,1
192799,200000001,1
191432,200000001,1
188154,200000001,1
191960,200000001,1
221669,200000001,1
191196,200000001,1
193923,200000001,1
191430,200000001,1
190922,200000001,1
191934,200000001,1
192508,200000001,1
220754,200000001,1
191908,200000001,1
191789,200000001,1
191896,200000001,1
192092,200000001,1
191457,200000001,1
192039,200000001,1
219894,200000001,1
191651,200000001,1
191848,200000001,1
190948,200000001,1
191197,200000001,1
195182,200000001,1
190567,200000001,1
191268,200000001,1
191716,200000001,1
191306,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
764427,400000001,1
197895,400000001,1
188476,400000001,1
192050,400000001,1
223025,400000001,1
195192,400000001,1
195301,400000001,1
191523,400000001,1
222689,400000001,1
193337,400000001,1
192927,400000001,1
192132,400000001,1
222550,400000001,1
192585,400000001,1
192741,400000001,1
191186,400000001,1
192103,400000001,1
190691,400000001,1
205504,400000001,1
209206,400000001,1
192915,400000001,1
191713,400000001,1
