# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: compute-permanent-node-509
# Release : 3.10.0-1160.25.1.el7.x86_64
# Version : #1 SMP Tue Apr 27 15:52:10 PDT 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 103.938533 
# Number of iterations (recorded+unrecorded): 1848268150 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
290827971.15	896.47
291827382.12	866.49
292826791.09	871.48
293826208.06	886.48
294825611.03	868.49
295825014.00	881.48
296824437.96	1216.28
297823838.94	892.47
298823244.91	874.48
299822658.88	1187.30
300822071.84	845.50
301821496.80	883.48
302820893.78	882.48
303098205.78	1219.28
303820306.75	1477.13
304819718.71	1446.14
305819140.68	1225.28
306818517.67	1613.05
307817954.62	1723.98
308817365.59	1251.26
309816763.56	1497.11
310816183.53	1463.13
311815576.50	1505.11
312814821.57	1274.25
313814404.44	1131.33
314813770.43	1308.23
315813173.41	1377.19
316812600.36	851.50
317812007.34	857.49
318811409.31	911.46
319810806.29	881.48
320810230.25	845.50
321809644.21	850.50
322809054.18	832.51
323808446.16	884.48
324807875.12	837.50
325807265.10	844.50
326806686.06	873.48
327806103.03	865.49
328805494.01	1201.29
329804918.97	849.50
330804324.94	838.50
331803721.91	866.49
332803141.88	870.49
333802564.84	852.50
334801971.81	863.49
336800777.76	843.50
337800200.72	845.50
338799605.69	863.49
340798412.63	854.49
341797836.60	860.49
342797253.56	868.49
343796650.54	845.50
344796050.51	843.50
346794889.44	869.49
347794289.41	857.49
348793688.39	864.49
349793116.35	1217.28
351791934.29	845.50
354790161.19	1087.36
355789555.17	840.50
356788967.14	838.50
357788377.11	843.50
359787206.04	856.49
360786604.02	867.49
361786012.99	848.50
362785421.96	861.49
363784840.92	834.51
364784263.88	844.50
365783648.87	841.50
366783060.83	917.46
368781906.76	860.49
369781251.76	863.49
370780685.72	847.50
371780074.70	845.50
372779488.67	845.50
373778889.64	845.50
374778305.61	901.47
375777723.57	836.51
376777119.55	858.49
378775948.48	841.50
379775355.45	1602.05
380774772.42	907.46
381774192.38	853.50
382773588.36	845.50
383773003.32	853.50
384772399.30	850.50
385771823.26	838.50
386771232.23	841.50
387770629.21	858.49
388770058.16	859.49
389769447.14	855.49
390768874.10	841.50
391768285.07	843.50
392767690.04	861.49
393767093.02	849.50
394766497.99	852.50
395765921.95	846.50
396765325.92	839.50
397764720.90	852.50
398764143.86	858.49
399763544.83	1208.29
400762962.80	845.50
401762382.76	843.50
402761781.74	884.48
403761181.71	876.48
404760599.68	837.50
405760012.64	853.50
406759406.62	851.50
407758818.59	869.49
408758243.55	853.50
409757658.52	851.50
410757050.50	848.50
411756469.46	841.50
412755879.43	861.49
413755303.39	840.50
414754685.37	849.50
415754103.34	848.50
416753523.30	837.50
417752916.28	920.46
418752351.23	832.51
420751162.18	2423.57
421750533.17	845.50
422749978.12	852.50
423749344.11	1170.31
424748751.08	853.50
425748161.05	861.49
426747565.02	866.49
427746975.99	860.49
428746391.96	849.50
429745808.92	873.48
430745213.90	919.46
431744618.87	846.50
432744035.83	842.50
433743451.80	838.50
435742258.74	846.50
436741675.71	834.51
437741084.68	840.50
438740482.65	852.50
439739891.62	844.50
440739320.58	841.50
441738725.55	871.48
442738130.52	878.48
443737542.49	837.50
444736936.47	841.50
446735778.40	835.51
447735167.38	848.50
448734588.34	863.49
449734009.30	1146.32
450733418.27	852.50
451732827.24	847.50
452732234.21	851.50
