#size	rtt
1	2.268000
1	2.121000
1	1.947500
1	1.936000
1	1.942500
1	2.186500
1	1.979000
1	1.991000
1	1.960500
1	1.937500
1	2.015500
1	1.997000
1	2.062000
1	1.969500
1	1.891500
1	1.891500
1	1.944000
1	1.977000
1	1.924500
1	1.944500
1	1.941000
1	1.958500
1	2.080500
1	1.887000
1	1.858000
1	2.040000
1	1.933000
1	1.984000
1	2.010000
1	1.951000
1	3.011000
1	2.162500
1	1.934500
1	1.900500
1	1.981500
1	1.928000
1	1.970500
1	1.987000
1	1.961000
1	1.971500
1	2.059500
1	2.022500
1	2.072000
1	1.979500
1	1.940000
1	1.940000
1	1.919000
1	1.923000
1	1.922000
1	1.977500
1	1.991000
1	1.951000
1	2.019000
1	1.944000
1	1.905500
1	1.936500
1	1.917000
1	2.002000
1	1.898000
1	1.889000
1	1.867000
1	1.934500
1	1.937500
1	1.952500
1	1.871500
1	1.980000
1	2.002000
1	1.945500
1	2.011000
1	1.973000
1	1.832000
1	2.135500
1	1.902500
1	1.897500
1	2.026000
1	1.829000
1	1.981500
1	1.923500
1	1.957500
1	1.935000
1	2.042500
1	2.032000
1	1.976000
1	1.981500
1	1.916500
1	2.350000
1	1.904500
1	1.867000
1	1.834000
1	2.045500
1	1.949500
1	1.915500
1	1.972500
1	1.865500
1	1.949500
1	1.914500
1	2.040000
1	2.025000
1	2.013500
1	1.993500
1	1.980500
1	1.977000
1	1.889500
1	1.859000
1	1.884000
1	1.900000
1	2.036500
1	1.949500
1	2.002500
1	1.987000
1	2.062000
1	1.903000
1	2.164000
1	1.829000
1	1.878000
1	1.980000
1	1.987000
1	1.869000
1	1.944000
1	1.949500
1	1.924500
1	2.017500
1	2.057000
1	1.984500
1	2.054500
1	1.855000
1	1.934500
1	1.945500
1	1.932500
1	1.931000
1	1.898000
1	2.003000
1	1.937500
1	1.880000
1	1.913500
1	1.842000
1	1.855000
1	1.968500
1	1.938500
1	1.946500
1	1.970500
1	1.852500
1	1.901500
1	1.912500
1	2.049500
1	1.990000
1	2.119000
1	1.973000
1	2.016500
1	1.977000
1	1.905500
1	1.817500
1	1.924500
1	1.866500
1	1.875000
1	1.839000
1	1.858000
1	1.939500
1	1.987500
1	1.987000
1	1.926000
1	1.967500
1	1.827500
1	1.886000
1	1.903500
1	1.979500
1	1.997000
1	2.012000
1	1.997000
1	1.966500
1	1.942500
1	1.926000
1	2.062000
1	1.934500
1	1.986000
1	1.991500
1	1.978500
1	2.012000
1	1.915500
1	1.871500
1	1.887500
1	1.964500
1	1.917000
1	1.996000
1	2.013500
1	1.994000
1	1.934500
1	1.910500
1	1.930000
1	1.862500
1	1.936500
1	2.024500
1	1.938000
1	2.024000
1	1.938000
1	1.970000
1	1.954500
1	1.857000
1	1.945000
1	1.916500
1	1.942000
1	2.063500
1	1.974000
1	1.887000
1	1.837500
1	1.924500
1	1.962500
1	1.942000
1	2.019500
1	1.940000
1	2.003500
1	1.910000
1	1.944500
1	1.970500
1	1.842500
1	1.834000
1	1.837000
1	1.904500
1	1.963000
1	1.911500
1	1.891500
1	1.858500
1	1.932500
1	1.979500
1	1.958000
1	2.034500
1	1.947000
1	1.905500
1	1.827000
1	1.941500
1	1.929000
1	2.089000
1	1.950000
1	1.935500
1	2.004000
1	1.994000
1	2.035000
1	1.907500
1	1.863500
1	1.890000
1	1.878500
1	1.840500
1	2.006000
1	1.938000
1	2.006000
1	1.958500
1	1.893000
1	1.918500
1	1.916500
1	1.858500
1	1.806500
1	1.861500
1	1.834000
1	1.912500
1	1.940500
1	1.940000
1	1.933500
1	1.967500
1	1.915500
1	1.842000
1	1.917000
1	2.051500
1	2.009500
1	2.139500
1	2.003500
1	1.951000
1	1.957000
1	1.970500
1	1.928000
1	1.938500
1	2.076500
1	1.969500
1	2.050000
1	1.904500
1	1.922000
1	1.873500
1	1.911500
1	1.828500
1	1.930500
1	1.981500
1	1.930000
1	1.994500
1	1.807000
1	1.883500
1	1.881500
1	1.851500
1	1.950500
1	2.858000
1	1.950000
1	2.019000
1	2.082500
1	2.008500
1	2.021000
1	1.943500
1	1.891500
1	1.914500
1	1.862000
1	1.984000
1	2.118500
1	1.911500
1	2.122000
1	1.912000
1	1.933500
1	1.948500
1	1.871000
1	1.924500
1	1.821500
1	1.919500
1	1.915000
1	1.849000
1	1.931000
1	1.949500
1	1.943500
1	2.023500
1	1.868000
1	1.903500
1	1.904500
1	1.933000
1	2.048500
1	1.973000
1	2.046000
1	2.006500
1	1.988500
1	2.083000
1	2.001000
1	1.952500
1	1.867000
1	1.907500
1	1.833500
1	1.930500
1	2.146000
1	1.908000
1	2.105000
1	1.980500
1	2.002500
1	1.981500
1	2.022000
1	1.934500
1	2.069500
1	1.850500
1	1.935500
1	1.947500
1	1.901500
1	1.887000
1	1.991000
1	1.847500
1	1.884000
1	1.910500
1	1.886000
1	1.974500
1	2.019000
1	2.003000
1	1.924500
1	1.946500
1	1.919000
1	1.871500
1	1.970500
1	2.033000
1	1.979000
1	1.976000
1	1.981500
1	1.903500
1	1.836000
1	2.104500
1	1.916500
1	1.858500
1	1.926000
1	1.860000
1	1.923000
1	2.132500
1	1.883000
1	2.072000
1	1.922000
1	1.978000
1	1.931000
1	1.872500
1	1.940500
1	1.962000
1	1.903500
1	1.955000
1	1.872000
1	2.009000
1	1.904500
1	1.963000
1	1.959500
1	1.844500
1	1.850500
1	1.872500
1	1.956500
1	1.990000
1	1.835000
1	1.893000
1	1.914000
1	1.923500
1	1.804500
1	1.854000
1	1.880500
1	1.911000
1	2.037000
1	1.989000
1	1.995500
1	1.931000
1	1.935000
1	1.824000
1	1.841500
1	1.983000
1	2.132000
1	1.863000
1	2.123500
1	1.880000
1	1.839000
1	1.845500
1	1.840000
1	1.921500
1	2.008500
1	2.008000
1	1.997000
1	1.962000
1	1.856000
1	1.949500
1	1.958500
1	1.992000
1	1.961000
1	1.987000
1	1.983000
1	1.917000
1	2.000000
1	1.955000
1	2.168500
1	1.933000
1	1.933500
1	1.929000
1	1.953500
1	1.995500
1	1.991000
1	1.999500
1	1.995000
1	1.953500
1	1.918000
1	1.910500
1	1.841500
1	1.832000
1	1.884500
1	1.910500
1	1.855500
1	2.094000
1	1.937000
1	2.020500
1	2.050000
1	1.977000
1	1.899000
1	1.854500
1	1.950000
1	1.985500
1	1.949000
1	1.931000
1	1.961000
1	1.931000
1	2.023500
1	1.895000
1	1.909000
1	1.918000
1	1.871500
1	2.104500
1	1.935000
1	2.101000
1	1.994000
1	2.093500
1	1.989000
1	1.947000
1	1.831000
1	1.900500
1	1.834000
1	1.960500
1	1.995000
1	1.994500
1	1.994000
1	1.959500
1	1.877500
1	2.053000
1	1.830500
1	1.845000
1	1.898000
1	1.981500
1	1.974500
1	1.879500
1	1.946000
1	1.924500
1	1.944500
1	2.041000
1	1.907500
1	1.909000
1	1.890000
1	1.924500
1	2.068500
1	1.960000
1	2.075000
1	2.023500
1	1.951000
1	1.887000
1	1.976500
1	1.832000
1	1.877000
1	1.935000
1	1.939000
1	1.955500
1	1.829500
1	1.840000
1	1.823000
1	1.988500
1	2.001000
1	1.940000
1	1.998000
1	1.955500
1	1.856000
1	1.825500
1	1.884500
1	1.978000
1	2.028000
1	1.983000
1	2.033500
1	1.955000
1	1.940500
1	1.931000
1	1.934000
1	2.173000
1	1.894000
1	2.064000
1	1.908500
1	1.911000
1	1.830500
1	1.924500
1	1.897000
1	1.897000
1	1.930000
1	1.986000
1	1.987500
1	2.000500
1	1.895500
1	1.859500
1	1.989000
1	1.954000
1	1.821500
1	2.026500
1	1.825000
1	2.171500
1	1.979000
1	2.011500
1	1.857500
1	1.945000
1	1.887500
1	1.958500
1	1.918500
1	1.992000
1	1.978000
1	1.871500
1	1.972500
1	1.845500
1	1.956000
1	1.932500
1	1.957500
1	1.997000
1	1.838500
1	1.904500
1	1.893000
1	1.919500
1	2.030000
1	1.878000
1	2.066500
1	2.006500
1	1.898000
1	1.977000
1	1.924500
1	1.867500
1	1.923000
1	1.888000
1	1.946000
1	2.013500
1	1.962500
1	1.821000
1	1.939000
1	1.914500
1	1.958000
1	1.976500
1	1.894000
1	1.941500
1	1.937000
1	1.931500
1	1.937500
1	2.003000
1	1.986500
1	1.980000
1	1.998000
1	1.907500
1	1.907000
1	1.857500
1	1.895000
1	1.989000
1	1.952500
1	1.951000
1	2.021500
1	2.081500
1	1.981000
1	1.987000
1	1.998500
1	1.938000
1	1.934000
1	2.009000
1	1.941500
1	1.993000
1	1.902500
1	1.908500
1	1.899500
1	1.937500
1	1.944500
1	1.950000
1	1.961000
1	2.019000
1	1.951500
1	1.856500
1	1.867500
1	2.011500
1	1.913500
1	1.902000
1	1.939000
1	1.854500
1	1.954500
1	1.950000
1	2.024500
1	2.032000
1	1.865000
1	1.890000
1	1.971000
1	1.979500
1	1.895000
1	1.992500
1	1.992500
1	1.971000
1	1.891500
1	2.049000
1	1.848000
1	1.995000
1	1.902500
1	1.939000
1	1.995000
1	1.946500
1	1.838500
1	1.904000
1	1.845500
1	1.902500
1	1.914500
1	1.895000
1	1.886500
1	1.912500
1	1.945000
1	1.951000
1	1.956500
1	1.924500
1	2.003500
1	2.025500
1	1.913000
1	1.953500
1	1.914000
1	1.905000
1	1.834000
1	1.974000
1	1.911500
1	1.902500
1	1.895000
1	1.864000
1	1.922000
1	1.958000
1	1.885500
1	2.006500
1	1.887000
1	1.951000
1	1.996500
1	1.913000
1	1.943500
1	1.886000
1	2.154500
1	1.962000
1	1.915500
1	1.870500
1	1.909000
1	1.906500
1	2.016500
1	1.998000
1	2.025000
1	1.924500
1	1.832500
1	1.931500
1	2.153500
1	1.948000
1	2.030000
1	1.999000
1	2.414500
1	2.071000
1	1.922500
1	2.063000
1	1.892000
1	2.159500
1	2.024000
1	1.980000
1	1.997000
1	2.060000
1	1.938000
1	1.998000
1	1.937500
1	1.887500
1	1.960500
1	1.975500
1	1.966000
1	1.990500
1	1.997000
1	2.007000
1	1.995500
1	1.862000
1	2.220500
1	1.904500
1	1.823500
1	1.994000
1	1.882000
1	1.908000
1	1.930000
1	1.999500
1	1.889000
1	1.943500
1	1.860500
1	2.016500
1	1.985500
1	2.119000
1	1.909500
1	2.129500
1	1.929000
1	1.847000
1	1.847500
1	1.887000
1	2.014500
1	1.896500
1	2.001000
1	1.956500
1	1.854000
1	1.829000
1	1.939000
1	1.890000
1	2.006000
1	1.994500
1	1.997500
1	1.949500
1	1.944000
1	1.841000
1	2.001500
1	1.927500
1	1.966000
1	1.978500
1	2.064500
1	1.921000
1	1.960000
1	1.942000
1	1.939500
1	1.937500
1	1.901500
1	1.837500
1	1.923500
1	1.923000
1	1.861500
1	2.100500
1	2.021000
1	2.070000
1	1.902000
1	1.898500
1	1.850500
1	1.922000
1	2.026000
1	2.020000
1	1.997500
1	1.942500
1	1.951500
1	1.941500
1	1.979500
1	2.029000
1	2.075500
1	1.837500
1	2.163000
1	1.923000
1	1.872000
1	1.913500
1	1.922500
1	2.161000
1	1.871000
1	2.068500
1	1.876500
1	1.836000
1	1.856000
1	1.916000
1	1.891000
1	1.932500
1	2.007000
1	1.922000
1	1.914500
1	1.973500
1	1.895000
1	1.926500
1	1.905500
1	1.908500
1	1.994500
1	1.859000
1	1.913500
1	2.018500
1	2.005500
1	2.034500
1	1.984000
1	1.985000
1	1.929500
1	1.879500
1	1.858000
1	2.115000
1	1.892500
1	2.056000
1	1.895500
1	1.893000
1	1.941500
1	1.922000
1	1.931000
1	1.951500
1	1.938000
1	1.951000
1	2.017500
1	2.006000
1	1.989500
1	1.885000
1	1.909000
1	1.941000
1	1.914000
1	1.871000
1	1.970000
1	2.014500
1	1.830500
1	2.084500
1	1.920500
1	1.850000
1	1.832500
1	1.857000
1	1.905000
1	1.921500
1	2.173000
1	1.983500
1	2.136500
1	1.960000
1	1.822500
1	1.825500
1	1.898500
1	1.969000
1	2.023000
1	1.940500
1	1.973500
1	2.023500
1	1.900000
1	1.901500
1	1.911000
1	1.926500
1	1.946000
1	2.115000
1	1.921000
1	1.940500
1	1.900000
1	1.961000
1	1.940500
1	1.914000
1	1.964500
1	2.030000
1	1.945000
1	1.963500
1	1.918000
1	2.042000
1	1.869500
1	1.955000
1	1.926500
1	1.905000
1	1.927000
1	1.945000
1	1.948000
1	1.964500
1	1.958500
1	2.039500
1	1.912500
1	1.864000
1	1.973000
1	1.964500
1	1.966500
1	1.994500
1	1.904000
1	1.979500
1	1.885500
1	1.868000
1	1.897000
1	1.872500
1	2.009000
1	2.004500
1	1.998000
1	1.937000
1	1.847000
1	1.889000
1	2.013500
1	1.947000
1	1.898500
1	1.914000
1	1.894000
1	1.895500
1	2.190500
1	1.979500
1	1.972500
1	1.894000
1	1.877000
1	1.952500
1	1.929000
1	1.989000
1	1.901500
1	1.894000
1	1.897000
1	1.874500
1	1.835000
1	1.806000
1	1.835500
1	2.082500
1	2.016500
1	2.024000
1	1.976500
1	2.016500
1	1.839000
1	2.136000
1	1.889500
1	1.986000
1	1.977000
1	2.013500
1	1.969500
1	2.009000
1	2.002000
1	1.946500
1	2.020000
1	1.956500
1	1.936500
1	1.924000
1	1.909500
1	2.002500
1	1.946000
1	2.012500
1	1.988000
1	1.987500
1	1.824000
1	1.911000
1	1.853500
1	1.910000
1	2.016500
1	1.925000
1	2.109000
1	1.963500
1	1.837000
1	1.845500
1	1.922000
1	1.970500
1	1.966500
1	1.892500
1	1.904000
1	1.941500
1	1.963000
1	1.869000
1	1.954000
1	1.918500
1	1.900000
1	1.849000
1	1.981000
1	1.953000
1	1.984500
1	1.996500
1	2.022000
1	1.982500
1	1.837500
1	1.976500
1	1.943500
1	1.999000
1	1.965500
1	1.902000
1	1.912500
1	1.911500
1	1.908000
1	1.928500
1	1.908500
1	1.999000
1	1.977000
1	2.020000
1	1.999500
1	1.876000
1	1.888500
1	1.848500
1	1.919500
1	2.007000
1	1.938500
1	1.997000
2	2.053000
2	1.961500
2	1.983500
2	1.873500
2	1.943500
2	2.042500
2	1.874000
2	1.937500
2	2.030000
2	1.890500
2	1.935500
2	1.920500
2	1.977500
2	2.169500
2	1.993000
2	2.098000
2	2.005500
2	1.994500
2	1.935000
2	2.004500
2	1.910500
2	1.914500
2	1.940500
2	1.844000
2	1.950500
2	1.986500
2	1.918500
2	1.952500
2	2.241000
2	1.917000
2	1.990500
2	1.915500
2	1.912500
2	1.972500
2	2.014000
2	2.023000
2	1.964000
2	1.913500
2	1.894000
2	2.002500
2	1.923000
2	1.952000
2	2.020000
2	1.992000
2	1.965000
2	1.931500
2	1.903500
2	1.858500
2	1.937500
2	2.015500
2	1.967000
2	2.013500
2	2.115500
2	1.913000
2	1.912000
2	1.908500
2	1.977000
2	1.945000
2	1.951500
2	1.978500
2	1.861500
2	1.960000
2	1.979000
2	1.947000
2	2.024500
2	2.011000
2	2.781500
2	2.023000
2	1.948000
2	1.905500
2	1.918000
2	2.000000
2	1.983000
2	1.979500
2	1.933500
2	1.982500
2	2.025500
2	1.943500
2	1.840000
2	1.987500
2	1.975500
2	1.964500
2	1.955500
2	1.957000
2	1.902000
2	2.047500
2	2.016000
2	1.962000
2	2.038000
2	2.161500
2	1.933500
2	2.029500
2	2.038000
2	1.911000
2	1.911500
2	1.928000
2	1.847000
2	2.011500
2	1.911000
2	1.926000
2	1.831000
2	2.061000
2	1.935000
2	1.973000
2	2.038000
2	1.978000
2	2.000500
2	1.990000
2	1.960000
2	2.004500
2	2.008500
2	1.940500
2	1.993500
2	1.934500
2	1.939500
2	1.902500
2	1.893500
2	1.979000
2	1.935500
2	1.938000
2	2.024000
2	1.897500
2	1.938500
2	1.927000
2	1.990000
2	1.929500
2	1.882000
2	1.900000
2	1.921500
2	2.113000
2	1.953000
2	2.067500
2	1.965000
2	1.852500
2	1.911000
2	1.925000
2	1.921000
2	1.947000
2	1.991000
2	1.975500
2	1.864000
2	2.063000
2	1.951500
2	2.076000
2	2.027500
2	1.956000
2	1.985500
2	1.914500
2	1.942500
2	1.957500
2	1.928500
2	1.927000
2	1.931000
2	2.006500
2	2.008500
2	1.942500
2	1.970500
2	2.070500
2	1.839500
2	1.931000
2	1.971500
2	2.092500
2	1.908000
2	2.123000
2	1.922500
2	1.929500
2	1.883000
2	2.056500
2	2.000000
2	2.008500
2	1.995500
2	1.934000
2	1.962000
2	1.849000
2	1.898500
2	1.937500
2	1.842500
2	1.922500
2	1.870500
2	1.859000
2	1.936500
2	1.927500
2	1.990500
2	1.915500
2	1.963000
2	1.848000
2	1.915500
2	1.919500
2	1.956000
2	2.002000
2	2.013500
2	2.028500
2	1.957500
2	1.944500
2	2.037500
2	1.954500
2	2.010000
2	1.972500
2	1.891000
2	1.989500
2	1.982500
2	1.902500
2	1.927500
2	1.914000
2	2.077000
2	1.942500
2	2.060500
2	2.011000
2	2.177000
2	1.961500
2	2.029500
2	2.013500
2	1.870500
2	1.957500
2	1.922000
2	1.955000
2	2.013000
2	1.935000
2	1.987000
2	1.960000
2	1.932500
2	1.940500
2	1.977500
2	1.912500
2	2.110000
2	1.973000
2	1.980500
2	1.987000
2	1.940500
2	2.032500
2	2.041500
2	1.947500
2	2.041000
2	2.007000
2	2.113000
2	1.979000
2	2.115500
2	1.927500
2	1.938000
2	1.850500
2	1.915000
2	1.974500
2	1.898000
2	1.922500
2	1.922500
2	1.937000
2	1.955000
2	1.947000
2	2.022500
2	2.041000
2	1.924000
2	1.830000
2	1.943000
2	1.987000
2	1.966500
2	2.096000
2	2.015000
2	2.004500
2	2.009000
2	2.003500
2	1.945500
2	1.876000
2	1.920000
2	1.865000
2	1.956000
2	2.009500
2	2.007500
2	2.050000
2	1.929500
2	1.965000
2	1.882000
2	1.962500
2	1.931000
2	1.891500
2	1.947500
2	1.836000
2	1.921000
2	1.977000
2	1.992500
2	2.004500
2	1.900000
2	1.935500
2	1.987500
2	1.839000
2	1.923500
2	2.009500
2	2.090000
2	2.025000
2	1.937500
2	1.955000
2	1.878500
2	1.924500
2	2.049000
2	1.951000
2	1.984000
2	1.949000
2	1.843000
2	2.161000
2	1.841500
2	1.939500
2	1.909000
