num_tokens,time_stamp
1,1773747335569
1,1773747335597
1,1773747335625
1,1773747335652
1,1773747335662
1,1773747335679
1,1773747335687
1,1773747335705
1,1773747335712
1,1773747335731
1,1773747335737
1,1773747335756
1,1773747335762
1,1773747335782
1,1773747335787
1,1773747335810
1,1773747335812
1,1773747335813
1,1773747335837
1,1773747335839
1,1773747335839
1,1773747335853
1,1773747335864
1,1773747335865
1,1773747335865
1,1773747335879
1,1773747335891
1,1773747335891
1,1773747335892
1,1773747335904
1,1773747335917
1,1773747335917
1,1773747335919
1,1773747335929
1,1773747335943
1,1773747335945
1,1773747335946
1,1773747335955
1,1773747335968
1,1773747335973
1,1773747335974
1,1773747335980
1,1773747335994
1,1773747336000
1,1773747336001
1,1773747336006
1,1773747336020
1,1773747336028
1,1773747336028
1,1773747336032
1,1773747336045
1,1773747336057
1,1773747336058
1,1773747336059
1,1773747336070
1,1773747336071
1,1773747336086
1,1773747336088
1,1773747336089
1,1773747336100
1,1773747336104
1,1773747336116
1,1773747336116
2,1773747336120
1,1773747336134
1,1773747336141
1,1773747336151
1,1773747336153
1,1773747336154
1,1773747336161
1,1773747336162
1,1773747336162
1,1773747336172
1,1773747336178
1,1773747336187
1,1773747336187
1,1773747336188
1,1773747336199
1,1773747336201
1,1773747336202
1,1773747336209
1,1773747336219
1,1773747336221
1,1773747336222
1,1773747336225
1,1773747336238
1,1773747336239
1,1773747336240
1,1773747336245
1,1773747336259
1,1773747336259
1,1773747336261
1,1773747336261
1,1773747336279
2,1773747336280
1,1773747336282
1,1773747336298
1,1773747336299
1,1773747336299
1,1773747336299
1,1773747336301
2,1773747336318
1,1773747336319
1,1773747336319
1,1773747336337
1,1773747336339
1,1773747336339
1,1773747336342
1,1773747336353
1,1773747336362
1,1773747336362
1,1773747336363
1,1773747336364
1,1773747336366
1,1773747336380
1,1773747336383
1,1773747336384
1,1773747336387
1,1773747336408
1,1773747336409
1,1773747336409
1,1773747336410
1,1773747336411
1,1773747336418
1,1773747336426
1,1773747336427
1,1773747336428
1,1773747336430
1,1773747336453
1,1773747336453
2,1773747336453
1,1773747336455
1,1773747336469
1,1773747336471
1,1773747336471
1,1773747336471
1,1773747336477
1,1773747336498
1,1773747336499
1,1773747336501
1,1773747336502
1,1773747336504
1,1773747336519
1,1773747336519
2,1773747336521
2,1773747336523
1,1773747336544
1,1773747336544
3,1773747336544
2,1773747336568
3,1773747336570
1,1773747336571
1,1773747336585
1,1773747336585
1,1773747336590
1,1773747336591
