# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
19689550,1000000000,1
198911,1000000000,1
197146,1000000000,1
197639,1000000000,1
195447,1000000000,1
194126,1000000000,1
195016,1000000000,1
196756,1000000000,1
201913,1000000000,1
197341,1000000000,1
196586,1000000000,1
194666,1000000000,1
194311,1000000000,1
195472,1000000000,1
194217,1000000000,1
195112,1000000000,1
207527,1000000000,1
209778,1000000000,1
201593,1000000000,1
195841,1000000000,1
195724,1000000000,1
196857,1000000000,1
195820,1000000000,1
195778,1000000000,1
195979,1000000000,1
195593,1000000000,1
196097,1000000000,1
195904,1000000000,1
194748,1000000000,1
196018,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
30591138,800000000,1
198053,800000000,1
193696,800000000,1
199684,800000000,1
193233,800000000,1
196147,800000000,1
194599,800000000,1
194865,800000000,1
195477,800000000,1
193837,800000000,1
194815,800000000,1
195789,800000000,1
194206,800000000,1
195340,800000000,1
195412,800000000,1
203314,800000000,1
197018,800000000,1
196564,800000000,1
195614,800000000,1
195373,800000000,1
194685,800000000,1
194629,800000000,1
193793,800000000,1
194630,800000000,1
194134,800000000,1
195139,800000000,1
194308,800000000,1
195810,800000000,1
194754,800000000,1
194261,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
19564898,600000000,1
197733,600000000,1
197449,600000000,1
197699,600000000,1
194732,600000000,1
197743,600000000,1
201045,600000000,1
197929,600000000,1
197297,600000000,1
194347,600000000,1
194017,600000000,1
193532,600000000,1
195707,600000000,1
194913,600000000,1
194924,600000000,1
196218,600000000,1
199150,600000000,1
198047,600000000,1
197613,600000000,1
194011,600000000,1
196124,600000000,1
194224,600000000,1
194813,600000000,1
194131,600000000,1
196097,600000000,1
194265,600000000,1
196448,600000000,1
194840,600000000,1
196674,600000000,1
194647,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
19839214,400000000,1
199127,400000000,1
194146,400000000,1
199212,400000000,1
194054,400000000,1
193032,400000000,1
195217,400000000,1
195011,400000000,1
196601,400000000,1
196317,400000000,1
193594,400000000,1
192962,400000000,1
193797,400000000,1
195292,400000000,1
193723,400000000,1
194299,400000000,1
194867,400000000,1
193237,400000000,1
194832,400000000,1
193974,400000000,1
194207,400000000,1
194130,400000000,1
193516,400000000,1
194164,400000000,1
195824,400000000,1
194679,400000000,1
195125,400000000,1
195512,400000000,1
194302,400000000,1
195128,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
19896963,200000000,1
197503,200000000,1
195538,200000000,1
198854,200000000,1
194995,200000000,1
195312,200000000,1
193906,200000000,1
275009,200000000,1
195381,200000000,1
193788,200000000,1
193678,200000000,1
193454,200000000,1
194331,200000000,1
193776,200000000,1
193100,200000000,1
192989,200000000,1
193410,200000000,1
192651,200000000,1
196007,200000000,1
193546,200000000,1
193825,200000000,1
193432,200000000,1
194443,200000000,1
194594,200000000,1
193982,200000000,1
193530,200000000,1
193918,200000000,1
194064,200000000,1
194290,200000000,1
193850,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
30684091,0,1
196293,0,1
193397,0,1
195999,0,1
193390,0,1
192455,0,1
193323,0,1
192839,0,1
246141,0,1
193037,0,1
192979,0,1
191762,0,1
192910,0,1
193061,0,1
191970,0,1
192502,0,1
192826,0,1
193591,0,1
192906,0,1
192557,0,1
191557,0,1
192972,0,1
192433,0,1
192734,0,1
192134,0,1
191430,0,1
191191,0,1
192527,0,1
192005,0,1
191361,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
30658422,200000001,1
211591,200000001,1
196837,200000001,1
198516,200000001,1
195440,200000001,1
194417,200000001,1
194569,200000001,1
203187,200000001,1
196837,200000001,1
196105,200000001,1
193713,200000001,1
194755,200000001,1
196241,200000001,1
194029,200000001,1
194668,200000001,1
193743,200000001,1
195779,200000001,1
193433,200000001,1
192875,200000001,1
193900,200000001,1
195135,200000001,1
193799,200000001,1
193710,200000001,1
193697,200000001,1
193702,200000001,1
193587,200000001,1
194628,200000001,1
194570,200000001,1
193766,200000001,1
194563,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
30890059,400000001,1
198545,400000001,1
194452,400000001,1
200179,400000001,1
195284,400000001,1
193979,400000001,1
195096,400000001,1
196042,400000001,1
195326,400000001,1
196310,400000001,1
196521,400000001,1
195051,400000001,1
195321,400000001,1
194152,400000001,1
195742,400000001,1
193852,400000001,1
195215,400000001,1
194479,400000001,1
193177,400000001,1
192905,400000001,1
193720,400000001,1
195439,400000001,1
194600,400000001,1
193332,400000001,1
195620,400000001,1
195027,400000001,1
194072,400000001,1
194975,400000001,1
194252,400000001,1
194305,400000001,1
