#size	rtt
1	3.181500
1	2.365500
1	1.910000
1	1.778000
1	1.732000
1	1.974000
1	1.722500
1	1.711000
1	1.717500
1	1.934500
1	1.699500
1	1.733500
1	1.187500
1	2.050000
1	75.599500
1	1.557500
1	1.603000
1	1.314500
1	1.236500
1	1.211500
1	1.250000
1	5.023000
1	1.659500
1	1.703500
1	1.637500
1	1.665500
1	1.686000
1	1.681000
1	1.982000
1	1.660000
1	1.679500
1	1.762000
1	1.743500
1	1.720000
1	1.661500
1	1.677500
1	1.808000
1	1.663000
1	1.689500
1	1.639000
1	1.639500
1	1.654000
1	1.872000
1	1.657500
1	1.638000
1	1.651500
1	1.698500
1	1.634500
1	1.686500
1	1.724500
1	1.834500
1	1.657500
1	1.663000
1	1.658500
1	1.635000
1	1.659500
1	1.931500
1	1.624000
1	1.628000
1	1.631500
1	1.664000
1	1.691500
1	1.641500
1	1.854000
1	1.833500
1	1.762500
1	1.643500
1	1.674000
1	1.213500
1	1.221500
1	1.286500
1	1.674000
1	1.649000
1	1.643500
1	1.667500
1	1.660500
1	1.623500
1	1.671500
1	1.739500
1	1.680000
1	1.650000
1	1.673500
1	1.829000
1	1.235500
1	1.232500
1	1.297500
1	1.212000
1	1.196500
1	1.239000
1	1.667500
1	1.636000
1	1.673500
1	1.657500
1	1.671000
1	1.805500
1	1.654000
1	1.658000
1	1.655500
1	1.661500
1	1.668000
1	1.806000
1	1.642000
1	1.643000
1	1.635500
1	1.623500
1	1.701500
1	1.621000
1	1.657000
1	1.854500
1	1.664000
1	1.627500
1	1.214000
1	1.211500
1	1.221500
1	1.660500
1	1.926000
1	1.687500
1	1.724000
1	1.623500
1	1.704000
1	1.669500
1	1.669000
1	1.618500
1	1.804000
1	1.655500
1	1.250000
1	1.223500
1	1.286000
1	1.695500
1	1.866500
1	1.667500
1	1.674000
1	1.661500
1	1.703500
1	1.645500
1	1.658000
1	1.630000
1	1.864000
1	1.625500
1	1.641000
1	1.644000
1	1.631500
1	1.688000
1	2.121500
1	1.627000
1	1.703500
1	1.628000
1	1.651000
1	1.622000
1	1.697500
1	1.657500
1	1.824000
1	1.645500
1	1.658500
1	1.681500
1	1.213500
1	1.236500
1	1.246000
1	1.792500
1	1.680000
1	1.629500
1	1.674000
1	1.660500
1	1.651500
1	1.657000
1	1.667500
1	1.812000
1	1.680500
1	1.666000
1	1.215500
1	1.209000
1	1.212000
1	1.890000
1	1.661500
