# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: dp-esb74
# Release : 4.18.0-348.23.1.el8_5.x86_64
# Version : #1 SMP Wed Apr 27 15:32:52 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 82.995429 
# Number of iterations (recorded+unrecorded): 1464490803 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
266022436.61	5946.67
267022342.55	5270.71
268022300.48	5693.69
269022229.41	5814.68
270022208.34	5513.70
271022137.27	4881.73
272022094.20	5090.72
273022013.13	6184.66
274021966.06	5803.68
275021917.99	4811.74
276021850.92	5231.71
277021820.85	5608.69
278021754.79	5405.70
279021708.72	4659.74
280021624.65	5233.71
281021569.58	6134.66
282021543.51	5567.69
283021488.44	4797.74
284021446.37	5403.70
285021360.30	5559.69
286021312.23	5393.70
287021256.17	4577.75
288021194.10	5609.69
289021157.03	5563.69
290021112.96	5594.69
291021011.89	4711.74
292020960.82	5411.70
293020930.75	5679.69
294020866.68	4992.73
295020814.61	4947.73
296020757.54	5438.70
297020695.48	6114.66
298020636.41	5667.69
299020573.34	4655.74
300020544.27	5388.70
301020485.20	5368.70
302020452.13	5398.70
303020405.06	4795.74
304020304.99	5249.71
305020244.93	6168.66
306020210.85	5632.69
307020173.78	4933.73
308020097.72	5247.71
309020055.65	5631.69
310019983.58	5478.70
311019939.51	5784.68
312019889.44	5502.70
313019817.37	6220.66
314019795.30	5584.69
315019716.23	5089.72
316019628.17	5224.71
317019603.10	5474.70
318019536.03	5401.70
319019506.96	4799.74
320019441.89	5911.67
321019413.82	5566.69
322019318.75	5504.70
323019258.68	4704.74
324019200.61	5300.71
325019149.55	5749.68
326019131.47	5337.71
327019052.41	4835.73
328018979.34	5430.70
329018924.27	6210.66
330018899.20	6066.67
331018832.13	5178.71
332018784.06	5597.69
333018687.99	5867.68
334018653.92	5941.67
335018591.86	5207.71
336018561.79	5513.70
337018490.72	6376.65
338018461.65	5819.68
339018405.58	5390.70
340018333.51	5276.71
341018265.44	5752.68
342018210.37	6890.62
343018163.30	8092.55
344018141.23	5723.68
345018067.17	6215.66
346017974.10	5814.68
347017936.03	5164.72
348017905.96	5206.71
349017832.89	6071.67
350017780.82	5371.70
351017746.75	4869.73
352017648.68	5213.71
353017592.62	6181.66
354017542.55	5584.69
355017512.48	4711.74
356017446.41	5174.72
357017416.34	5693.69
358017314.27	5138.72
359017266.20	4676.74
360017233.13	5520.70
361017187.06	6222.66
362017142.99	5614.69
363017069.92	4853.73
364017025.85	5361.70
365016932.79	5730.68
366016913.72	5385.70
367016864.65	4968.73
368016817.58	5414.70
369016768.51	6145.66
370016716.44	5577.69
371016606.37	4735.74
372016579.30	5417.70
373016512.23	5605.69
374016467.17	6105.66
375016422.10	4914.73
376016364.03	5506.70
377016293.96	6113.66
378016238.89	5917.67
379016182.82	4639.74
380016122.75	5487.70
381016099.68	5468.70
382016007.61	5364.70
383015954.55	4864.73
384015903.48	5272.71
385015846.41	6093.66
386015808.34	5659.69
387015759.27	4711.74
388015719.20	5644.69
389015611.13	5323.71
390015589.06	5408.70
391015527.99	5248.71
392015470.92	5635.69
393015444.85	6125.66
394015367.79	5754.68
395015307.72	4769.74
396015240.65	4993.72
397015186.58	5701.69
398015149.51	5396.70
399015087.44	4992.73
400015053.37	5350.71
401014974.30	6134.66
402014911.23	5673.69
403014869.17	4614.75
404014807.10	5317.71
405014758.03	5591.69
406014723.96	5168.72
407014613.89	4866.73
408014587.82	5294.71
409014548.75	6108.66
410014471.68	5496.70
411014430.61	4802.74
412014403.54	5255.71
413014297.48	5718.69
414014259.41	5263.71
415014201.34	4854.73
416014157.27	5196.71
417014114.20	6095.66
418014052.13	5551.69
419013974.06	4820.73
420013904.99	5551.69
421013862.92	5545.69
422013814.86	5452.70
423013775.79	4753.74
424013741.72	5353.71
425013638.65	5974.67
426013580.58	5761.68
427013523.51	4836.73
428013500.44	5377.70
429013446.37	5729.68
430013379.30	5327.71
431013318.23	4976.73
432013256.17	5227.71
433013222.10	6093.66
434013148.03	5761.68
435013100.96	4662.74
436013056.89	5280.71
437012985.82	6594.64
438012937.75	5476.70
439012888.68	4904.73
440012824.61	5221.71
441012793.54	6170.66
442012742.47	5616.69
443012660.41	4777.74
444012588.34	5192.71
445012538.27	5605.69
446012498.20	5342.71
447012438.13	4917.73
448012414.06	5267.71
449012297.99	6122.66
