# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.305000 8.666000 38.646000 1.652500 0.621778 0.603444 -nan -nan -nan
1025 10 5.449000 13.298000 61.458000 1.652500 0.774222 0.864111 0.595397 0.000270 -nan
2049 10 6.723000 15.745000 68.309000 1.652500 0.119889 1.014889 0.619820 0.000199 0.059650
3073 10 7.950000 18.568000 87.699000 1.652500 0.911000 1.182000 0.629916 0.000184 0.046478
4097 10 9.430000 21.317000 103.822000 1.652500 1.058000 1.318556 0.642406 0.000172 0.044262
5121 10 10.163000 22.997000 112.192000 1.652500 1.173556 1.428667 0.660614 0.000158 0.050553
6145 10 11.187000 24.671000 113.197000 1.652500 0.147444 1.523222 0.684808 0.000144 0.063316
7169 10 12.099000 26.576000 132.990000 1.652500 1.333333 1.651778 0.703124 0.000135 0.067185
8193 10 13.496000 28.943000 147.466000 1.652500 1.389556 1.778889 0.717873 0.000129 0.068319
9217 10 14.102000 30.926000 141.969000 1.652500 0.105444 1.929444 0.723422 0.000127 0.064830
10241 10 15.123000 32.572000 152.387000 1.652500 0.128556 2.047333 0.735099 0.000123 0.065506
11265 10 16.025000 34.152000 161.248000 1.652500 0.110889 2.126889 0.749106 0.000119 0.068580
12289 10 14.354000 83.315000 202.409000 1.652500 6.541000 7.669556 0.090234 0.000295 1.400756
13313 10 14.714000 85.463000 207.655000 1.652500 6.723889 7.869778 -0.349783 0.000402 1.647973
14337 10 15.111000 82.248000 213.816000 1.652500 6.967333 8.062667 -0.571533 0.000452 1.658676
15361 10 15.405000 89.606000 218.224000 1.652500 7.130444 8.228333 -0.764487 0.000492 1.657820
16385 10 15.808000 91.576000 223.580000 1.652500 7.277778 8.421778 -0.874004 0.000514 1.621839
17409 10 16.174000 93.510000 229.701000 1.652500 7.551222 8.570000 -0.923058 0.000523 1.574682
18433 10 16.510000 95.202000 235.881000 1.652500 7.864556 8.835556 -0.925952 0.000523 1.527682
19457 10 16.892000 97.277000 241.876000 1.652500 8.106222 8.902889 -0.898385 0.000519 1.486215
20481 10 17.101000 98.697000 243.600000 1.652500 8.065556 9.067556 -0.844222 0.000510 1.453047
21505 10 17.340000 100.529000 246.573000 1.652500 8.130333 9.235333 -0.774083 0.000500 1.427740
22529 10 17.734000 102.574000 251.856000 1.652500 8.279556 9.395444 -0.693042 0.000489 1.409458
23553 10 18.126000 103.973000 260.694000 1.652500 8.826000 9.534889 -0.599169 0.000476 1.399668
24577 10 18.395000 105.510000 261.683000 1.652500 8.637000 9.689667 -0.498226 0.000463 1.396065
25601 10 18.593000 107.477000 265.025000 1.652500 8.788333 9.842556 -0.396393 0.000451 1.395263
26625 10 18.821000 108.248000 269.479000 1.652500 9.029889 9.910111 -0.285652 0.000438 1.401887
27649 10 19.111000 110.392000 272.722000 1.652500 9.068000 10.128444 -0.177928 0.000426 1.408463
28673 10 19.290000 111.860000 278.808000 1.652500 9.545333 10.267333 -0.069484 0.000414 1.417221
29697 10 19.667000 113.545000 282.212000 1.652500 9.504667 10.406889 0.038718 0.000403 1.427393
30721 10 19.790000 114.092000 283.913000 1.652500 9.557000 10.469444 0.151812 0.000391 1.442331
31745 10 20.012000 114.866000 285.221000 1.652500 9.455667 10.571222 0.267484 0.000380 1.460349
32769 10 20.448000 116.563000 294.382000 1.652500 9.989111 10.653222 0.380321 0.000369 1.477405
33793 10 20.491000 117.374000 291.685000 1.652500 9.641667 10.754444 0.493172 0.000359 1.495524
34817 10 20.684000 118.241000 294.605000 1.652500 9.751667 10.811000 0.606046 0.000349 1.514626
35841 10 20.876000 118.234000 296.701000 1.652500 9.771222 10.861778 0.723381 0.000339 1.537987
36865 10 21.013000 120.104000 300.081000 1.652500 9.994556 10.980000 0.833304 0.000330 1.556475
37889 10 21.237000 120.533000 302.055000 1.652500 9.965000 10.199333 0.944729 0.000321 1.576903
38913 10 21.282000 121.358000 303.805000 1.652500 10.109444 10.417333 1.053976 0.000312 1.596433
39937 10 21.512000 122.366000 306.165000 1.652500 10.116111 10.844111 1.160968 0.000304 1.615014
40961 10 21.682000 122.982000 309.448000 1.652500 10.292000 10.413556 1.267317 0.000296 1.633836
41985 10 21.899000 124.174000 315.789000 1.652500 10.755444 11.402667 1.370152 0.000288 1.650763
43009 10 21.999000 125.197000 316.211000 1.652500 10.691222 11.477111 1.469867 0.000281 1.666147
44033 10 22.126000 126.331000 315.974000 1.652500 10.523778 11.559444 1.566170 0.000274 1.679833
45057 10 22.363000 127.459000 319.772000 1.652500 10.682444 11.641222 1.659753 0.000268 1.692350
46081 10 22.433000 128.307000 319.844000 1.652500 10.612667 11.720444 1.751206 0.000262 1.704118
47105 10 22.626000 129.365000 322.785000 1.652500 10.725000 11.782222 1.840161 0.000256 1.714891
48129 10 22.759000 129.390000 324.502000 1.652500 10.768000 11.870111 1.930919 0.000250 1.727566
49153 10 23.023000 130.921000 328.351000 1.652500 10.902333 11.983000 2.017186 0.000245 1.737820
50177 10 23.232000 131.964000 330.980000 1.652500 10.962222 12.078000 2.101086 0.000240 1.747148
51201 10 23.383000 132.417000 333.511000 1.652500 11.075667 12.123778 2.184882 0.000235 1.757034
52225 10 23.391000 133.600000 334.098000 1.652500 11.132000 12.220778 2.264883 0.000230 1.765042
53249 10 23.676000 134.701000 338.257000 1.652500 11.277444 12.316111 2.342758 0.000226 1.772294
54273 10 23.865000 135.516000 341.264000 1.652500 11.401556 12.367778 2.419315 0.000221 1.779301
55297 10 23.934000 135.993000 341.868000 1.652500 11.392000 12.449667 2.495379 0.000217 1.786563
56321 10 24.157000 136.826000 346.374000 1.652500 11.644889 12.531333 2.570096 0.000213 1.793522
57345 10 24.236000 138.262000 346.856000 1.652500 11.610667 12.671111 2.640708 0.000209 1.798476
58369 10 24.558000 138.845000 350.730000 1.652500 11.683333 12.522889 2.711486 0.000206 1.804063
59393 10 24.658000 140.230000 355.159000 1.652500 12.064333 12.808444 2.778630 0.000202 1.807972
60417 10 24.712000 140.926000 353.256000 1.652500 11.792889 12.888000 2.844645 0.000199 1.811721
61441 10 25.039000 142.957000 359.497000 1.652500 12.123000 13.040667 2.905853 0.000196 1.813216
62465 10 25.119000 143.482000 359.878000 1.652500 12.076444 13.125000 2.966908 0.000193 1.815111
63489 10 25.363000 144.262000 362.722000 1.652500 12.121333 13.130111 3.027428 0.000190 1.817176
64513 10 25.521000 144.549000 365.254000 1.652500 12.227111 13.261222 3.088720 0.000187 1.820136
65537 10 25.720000 145.816000 368.039000 1.652500 12.315444 13.333889 3.147567 0.000184 1.822139
66561 10 25.860000 146.363000 372.997000 1.652500 12.710778 13.381778 3.206230 0.000182 1.824467
67585 10 25.948000 147.408000 371.439000 1.652500 12.439889 13.445667 3.262904 0.000179 1.826093
68609 10 26.220000 148.369000 376.039000 1.652500 12.648778 12.686333 3.318525 0.000177 1.827540
69633 10 26.354000 149.337000 377.009000 1.652500 12.607667 12.750778 3.372665 0.000174 1.828568
70657 10 26.481000 144.622000 378.889000 1.652500 12.675444 13.028889 3.442641 0.000171 1.839911
71681 10 26.590000 144.597000 380.607000 1.652500 12.745222 12.883222 3.512948 0.000168 1.851778
