# Hoverboard test (1048576 100 1000000000)
# time(ns),sleep_time(ns),repetitions
12154105,1000000000,100
10957435,1000000000,100
10952536,1000000000,100
10968335,1000000000,100
10969736,1000000000,100
10891831,1000000000,100
10921533,1000000000,100
10884232,1000000000,100
10927243,1000000000,100
10897940,1000000000,100
10929242,1000000000,100
11185559,1000000000,100
10920342,1000000000,100
10911641,1000000000,100
10999247,1000000000,100
10946444,1000000000,100
10921734,1000000000,100
10874931,1000000000,100
10964835,1000000000,100
10916833,1000000000,100
10898933,1000000000,100
10899432,1000000000,100
10901331,1000000000,100
10866431,1000000000,100
10945500,1000000000,100
10882198,1000000000,100
10935701,1000000000,100
10906098,1000000000,100
10906899,1000000000,100
10875498,1000000000,100
# Hoverboard test (1048576 100 1000000)
# time(ns),sleep_time(ns),repetitions
12143904,1000000,100
10899133,1000000,100
10881431,1000000,100
10817527,1000000,100
10845129,1000000,100
10867530,1000000,100
10887432,1000000,100
10843228,1000000,100
10864230,1000000,100
10832228,1000000,100
10834929,1000000,100
10890630,1000000,100
10840727,1000000,100
10889530,1000000,100
10878731,1000000,100
10882130,1000000,100
10826727,1000000,100
10840328,1000000,100
10844029,1000000,100
10838028,1000000,100
10935833,1000000,100
10962336,1000000,100
10932534,1000000,100
10826728,1000000,100
10822027,1000000,100
10830527,1000000,100
10929534,1000000,100
10832428,1000000,100
10821028,1000000,100
10817126,1000000,100
# Hoverboard test (1048576 100 1000)
# time(ns),sleep_time(ns),repetitions
12061899,1000,100
10842629,1000,100
10871230,1000,100
10873530,1000,100
10942134,1000,100
10880431,1000,100
10871530,1000,100
10891732,1000,100
10859729,1000,100
10877331,1000,100
10864630,1000,100
10863930,1000,100
10833328,1000,100
10883632,1000,100
10893531,1000,100
11003737,1000,100
10963736,1000,100
11056640,1000,100
10963535,1000,100
10860430,1000,100
10889830,1000,100
10857730,1000,100
10926134,1000,100
10834628,1000,100
10889032,1000,100
10903732,1000,100
10894932,1000,100
10913732,1000,100
10889031,1000,100
10870429,1000,100
# Hoverboard test (1048576 100 1)
# time(ns),sleep_time(ns),repetitions
12093701,1,100
10842528,1,100
10840728,1,100
10829128,1,100
10824628,1,100
10883330,1,100
10853930,1,100
10877431,1,100
10994738,1,100
10868830,1,100
10909331,1,100
10899631,1,100
10949235,1,100
10945234,1,100
10885831,1,100
10864929,1,100
10872730,1,100
10834229,1,100
10841029,1,100
10841228,1,100
10880430,1,100
10836028,1,100
10983037,1,100
10863630,1,100
10854529,1,100
10895232,1,100
10875930,1,100
10921634,1,100
11108243,1,100
11421561,1,100
# Hoverboard test (1048576 100 0)
# time(ns),sleep_time(ns),repetitions
12104802,0,100
10867030,0,100
10880630,0,100
10849529,0,100
10880530,0,100
10868031,0,100
10830128,0,100
10813927,0,100
10863729,0,100
10910633,0,100
10869330,0,100
10845628,0,100
10839629,0,100
10826727,0,100
10853129,0,100
10895431,0,100
10868529,0,100
10841529,0,100
10852329,0,100
10903632,0,100
11019839,0,100
10888931,0,100
10890631,0,100
10865930,0,100
10912032,0,100
10859329,0,100
10892731,0,100
10825727,0,100
10866929,0,100
10844929,0,100
# Hoverboard test (1048576 100 2)
# time(ns),sleep_time(ns),repetitions
12155804,2,100
10825127,2,100
10842328,2,100
10881131,2,100
10835629,2,100
10825227,2,100
10848829,2,100
10868731,2,100
10858230,2,100
10861330,2,100
10866130,2,100
10859629,2,100
10839529,2,100
10858330,2,100
10849030,2,100
10882830,2,100
10902732,2,100
10887331,2,100
10867629,2,100
10832929,2,100
10829727,2,100
10916333,2,100
10901432,2,100
10885531,2,100
10867430,2,100
10875230,2,100
10841129,2,100
10864730,2,100
10844129,2,100
10846329,2,100
# Hoverboard test (1048576 100 1001)
# time(ns),sleep_time(ns),repetitions
12168687,1001,100
10960020,1001,100
11060925,1001,100
10824912,1001,100
10836312,1001,100
10825311,1001,100
10995321,1001,100
10966720,1001,100
10997321,1001,100
10871614,1001,100
10928417,1001,100
10870413,1001,100
10833112,1001,100
10843912,1001,100
10900415,1001,100
10963519,1001,100
10840112,1001,100
10813711,1001,100
10833211,1001,100
10848311,1001,100
10925917,1001,100
10861414,1001,100
10838511,1001,100
10831511,1001,100
10822011,1001,100
10832212,1001,100
10850313,1001,100
10826211,1001,100
10856214,1001,100
10836012,1001,100
# Hoverboard test (1048576 100 1000001)
# time(ns),sleep_time(ns),repetitions
12118685,1000001,100
10889916,1000001,100
10871015,1000001,100
10851212,1000001,100
10848812,1000001,100
10896216,1000001,100
10859412,1000001,100
10916217,1000001,100
10878414,1000001,100
10871115,1000001,100
10869613,1000001,100
10848913,1000001,100
10914717,1000001,100
10855112,1000001,100
10882314,1000001,100
10870013,1000001,100
10889815,1000001,100
10945517,1000001,100
10904315,1000001,100
10877114,1000001,100
10886014,1000001,100
10905516,1000001,100
10862013,1000001,100
10853412,1000001,100
10864614,1000001,100
10869413,1000001,100
10875214,1000001,100
10884215,1000001,100
10864213,1000001,100
10874814,1000001,100
# Hoverboard test (1048576 100 1000000001)
# time(ns),sleep_time(ns),repetitions
12064181,1000000001,100
10909616,1000000001,100
10858213,1000000001,100
10922417,1000000001,100
10888733,1000000001,100
10949538,1000000001,100
10902834,1000000001,100
10888933,1000000001,100
10867834,1000000001,100
10860432,1000000001,100
10880934,1000000001,100
10815030,1000000001,100
10843228,1000000001,100
10847629,1000000001,100
10831427,1000000001,100
10886930,1000000001,100
10836728,1000000001,100
10855329,1000000001,100
10813726,1000000001,100
10786126,1000000001,100
10838327,1000000001,100
10869429,1000000001,100
10813725,1000000001,100
10849528,1000000001,100
10887629,1000000001,100
10834927,1000000001,100
10795524,1000000001,100
10850629,1000000001,100
10825527,1000000001,100
10801326,1000000001,100
