# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: ip-0A020006
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 98.992110 
# Number of iterations (recorded+unrecorded): 1099459655 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
240980797.83	5302.58
241980777.13	8401.33
242083375.95	1100.91
242980656.44	5302.58
243980636.74	5300.58
244980416.06	5199.59
245980395.36	5199.59
246980274.67	5199.59
247980252.97	5300.58
248980132.28	8401.33
249980111.59	5200.59
250979990.89	10201.19
251979870.20	8401.33
252083968.91	1300.90
252979849.51	5201.59
253979829.81	5400.57
254979809.11	5300.58
255979586.43	5302.58
256328479.62	2601.79
256979465.74	5402.57
257979445.04	5302.58
258979424.34	5301.58
259979303.65	5301.58
260979183.96	5300.58
261979063.27	5200.59
262084560.86	1399.89
262979042.57	5200.59
263979021.87	5200.59
264979001.17	5400.57
265978780.49	5500.56
266978659.80	5299.58
267978739.09	5200.59
268978518.41	5199.59
269978497.71	5299.58
270978477.02	5299.58
271978255.33	19301.46
272085253.81	1199.90
272978334.63	11400.09
273978113.94	5401.57
274978093.25	5201.59
275978072.55	5201.59
276978051.85	5301.58
277977831.17	5301.58
278977809.47	5201.59
279977688.78	5501.56
280977569.09	10001.20
281977548.39	9000.28
282085845.76	1200.90
282977527.69	9700.23
283977407.00	10300.18
284977286.31	6100.51
285977265.61	5500.56
286977244.91	9300.26
287977024.23	5300.58
288976903.54	5199.59
289976881.84	5300.58
290976761.15	5201.59
291976740.45	9201.27
292086438.71	1200.90
292976819.75	8001.36
293976599.07	5501.56
294976478.37	5501.56
295976357.68	5199.59
296976336.99	5199.59
297976216.30	5200.59
298976195.60	5200.59
299976073.91	5301.58
300975954.22	24199.07
301975933.52	8500.32
302087130.66	1200.90
302975812.83	5100.59
303975892.12	5300.58
304975671.44	5500.56
305975550.75	5200.59
306975530.05	5300.58
307975408.36	5201.59
308975387.66	5201.59
309975266.97	5200.59
310975246.27	5300.58
311975125.58	5101.59
312087823.60	1200.90
312975104.88	5200.59
313974984.19	5300.58
314974863.50	5600.55
315974842.81	5300.58
316974822.11	5199.59
317974601.42	5200.59
318974680.72	5200.59
319974559.03	5401.57
320974438.34	8401.33
321974318.65	5300.58
322088514.55	1301.90
322974297.95	5200.59
323974277.25	5300.58
324974055.57	5301.58
325974034.87	5201.59
326973913.18	5302.58
327973892.48	8601.31
328973871.78	5202.59
329973652.10	5200.59
330973631.40	5300.58
331973510.71	5200.59
332089107.50	1201.90
332973590.00	6299.50
333973469.31	16900.65
334973448.62	8499.32
335973327.93	6200.51
336973307.23	5300.58
337973186.54	5199.59
338973065.85	5900.53
339972844.16	5401.57
340972823.47	5301.58
341972702.78	8501.32
342089700.45	1200.90
342972782.07	5201.59
343972661.38	5201.59
344972440.70	5301.58
345972420.00	5201.59
346972298.31	5301.58
347972277.61	5301.58
348972157.92	8401.33
349972237.21	5200.59
350972216.51	5200.59
351971995.83	8700.31
352090393.40	1200.90
352971875.14	5300.58
353971754.45	5300.58
354971733.75	5300.58
355971813.05	5200.59
356457202.36	2300.82
356971492.37	5400.57
357971671.66	9200.27
358971349.98	6701.47
359971329.29	5301.58
360971308.59	5500.56
361971187.90	5401.57
362091084.34	1301.90
362971167.20	5401.57
363970946.52	6301.50
364970925.82	5299.58
365970805.13	9301.26
366970784.43	5300.58
367970762.73	5201.59
368970543.05	5200.59
369970622.34	8500.32
370970501.65	5300.58
371970380.96	5200.59
372091577.30	1301.90
372970260.27	5200.59
373970139.58	5200.59
374970118.88	5300.58
375969997.19	5301.58
376969976.49	5201.59
377969855.80	5200.59
378969735.11	5201.59
379969714.41	5301.58
380969593.72	5301.58
381969573.03	5500.56
382092170.25	1200.90
