# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 41.999000 55.255000 423.431000 20.999500 0.382333 1.011000 -nan -nan -nan
1025 10 82.590000 483.762000 1228.257000 20.999500 44.706333 45.512778 1.430797 0.042092 -nan
2049 10 76.868000 483.324000 1177.509000 20.999500 45.425444 45.570111 8.537334 0.021332 17.356540
3073 10 82.323000 483.270000 1226.391000 20.999500 44.795667 45.683889 14.454456 0.012677 16.779069
4097 10 80.053000 484.115000 1206.286000 20.999500 45.084000 45.642222 18.758321 0.008479 15.789719
5121 10 82.384000 484.668000 1228.926000 20.999500 45.009556 45.835222 22.090087 0.006040 14.945138
6145 10 76.822000 485.139000 1178.982000 20.999500 45.640222 45.847556 24.562618 0.004592 14.113920
7169 10 76.438000 486.812000 1176.892000 20.999500 45.834667 45.969778 26.544773 0.003625 13.406720
8193 10 77.428000 487.925000 1186.338000 20.999500 45.784222 46.026333 28.199383 0.002933 12.810603
9217 10 76.786000 488.181000 1181.015000 20.999500 45.906111 45.989000 29.584459 0.002426 12.288659
10241 10 83.969000 501.788000 1258.995000 20.999500 46.589444 47.162000 30.675803 0.002070 11.793274
11265 10 86.767000 539.916000 1322.226000 20.999500 50.506222 50.953667 31.143829 0.001933 11.229975
12289 10 92.962000 582.263000 1420.366000 20.999500 54.527333 54.803000 31.208670 0.001916 10.708247
13313 10 111.814000 699.591000 1708.397000 20.999500 65.584111 65.791444 30.226631 0.002156 10.472804
14337 10 113.100000 700.390000 1722.555000 20.999500 65.728333 66.031556 29.780194 0.002256 10.111030
15361 10 113.091000 705.045000 1721.518000 20.999500 65.623111 65.643667 29.643043 0.002285 9.748252
16385 10 113.394000 700.753000 1724.707000 20.999500 65.640778 65.829222 29.821713 0.002250 9.426918
17409 10 113.072000 702.532000 1722.703000 20.999500 65.775889 66.046778 30.149243 0.002190 9.160866
18433 10 113.644000 704.287000 1730.253000 20.999500 65.979222 66.230111 30.587278 0.002115 8.950968
19457 10 113.884000 706.859000 1731.389000 20.999500 65.838778 66.175778 31.088621 0.002033 8.787256
20481 10 115.154000 706.103000 1745.499000 20.999500 65.995444 66.345333 31.670148 0.001944 8.678430
21505 10 115.461000 706.991000 1750.193000 20.999500 66.175889 66.407111 32.282095 0.001854 8.604398
22529 10 115.179000 709.629000 1750.448000 20.999500 66.517556 66.831000 32.890756 0.001769 8.547507
23553 10 115.784000 714.757000 1755.420000 20.999500 66.397778 66.763444 33.477738 0.001691 8.496723
24577 10 116.130000 711.064000 1760.261000 20.999500 66.551222 66.902333 34.109759 0.001610 8.485256
25601 10 115.901000 712.595000 1758.662000 20.999500 66.628000 66.951889 34.727729 0.001535 8.479846
26625 10 116.123000 715.699000 1766.317000 20.999500 67.231889 67.351000 35.321397 0.001465 8.473598
27649 10 117.453000 719.022000 1776.258000 20.999500 66.858667 67.266444 35.897552 0.001400 8.469423
28673 10 117.248000 717.298000 1776.777000 20.999500 67.144111 67.385556 36.479824 0.001337 8.479747
29697 10 117.804000 718.758000 1783.523000 20.999500 67.275889 67.668889 37.047099 0.001278 8.491466
30721 10 117.615000 721.126000 1784.581000 20.999500 67.603444 67.828222 37.587928 0.001223 8.497393
31745 10 118.473000 725.134000 1792.136000 20.999500 67.489556 67.738111 38.100151 0.001173 8.496129
32769 10 118.801000 722.703000 1796.199000 20.999500 67.576556 67.929667 38.622209 0.001124 8.508868
33793 10 119.446000 724.441000 1804.725000 20.999500 67.807222 68.278667 39.126812 0.001078 8.519334
34817 10 119.368000 726.371000 1806.930000 20.999500 68.138889 68.304000 39.609057 0.001035 8.524461
35841 10 119.896000 731.966000 1809.910000 20.999500 67.883333 68.300667 40.052943 0.000997 8.515597
36865 10 119.427000 731.183000 1806.812000 20.999500 68.060222 68.440111 40.492239 0.000960 8.510972
37889 10 120.200000 732.370000 1817.400000 20.999500 68.377778 68.792333 40.921924 0.000925 8.507474
38913 10 119.680000 735.799000 1816.350000 20.999500 68.838889 69.073444 41.323116 0.000893 8.494887
39937 10 121.093000 738.268000 1828.554000 20.999500 68.624889 69.025333 41.713310 0.000863 8.482321
40961 10 121.694000 737.109000 1836.978000 20.999500 68.893111 69.287556 42.106854 0.000834 8.476914
41985 10 121.301000 739.101000 1834.149000 20.999500 69.015444 69.438000 42.481581 0.000806 8.466759
43009 10 121.648000 742.108000 1841.635000 20.999500 69.461667 69.739444 42.837484 0.000781 8.451881
44033 10 122.240000 746.885000 1846.894000 20.999500 69.388222 69.646667 43.168748 0.000758 8.429556
45057 10 122.607000 745.991000 1851.218000 20.999500 69.460889 69.781778 43.502699 0.000735 8.412972
46081 10 123.421000 747.695000 1861.357000 20.999500 69.683000 70.076222 43.828343 0.000713 8.396523
47105 10 123.096000 752.042000 1861.603000 20.999500 70.071444 70.375889 44.129067 0.000694 8.372179
48129 10 123.965000 755.336000 1869.424000 20.999500 69.974889 70.408889 44.416858 0.000675 8.345729
49153 10 124.011000 755.575000 1872.532000 20.999500 70.269111 70.567889 44.702046 0.000657 8.321754
50177 10 124.265000 756.965000 1877.528000 20.999500 70.542000 70.863889 44.980317 0.000640 8.298106
51201 10 124.683000 760.173000 1884.349000 20.999500 70.835444 71.100000 45.245030 0.000625 8.271678
52225 10 125.199000 762.935000 1888.788000 20.999500 70.755333 71.198778 45.499310 0.000610 8.243843
53249 10 125.489000 762.787000 1892.151000 20.999500 70.806778 71.343556 45.754388 0.000595 8.219428
54273 10 126.096000 764.673000 1902.095000 20.999500 71.237222 71.646000 46.002984 0.000581 8.195064
55297 10 125.757000 768.771000 1900.901000 20.999500 71.481222 71.802333 46.233218 0.000568 8.165567
56321 10 126.102000 771.846000 1904.317000 20.999500 71.477444 71.774556 46.452974 0.000556 8.134404
57345 10 126.513000 771.513000 1910.889000 20.999500 71.751000 71.848444 46.675761 0.000545 8.107084
58369 10 126.876000 772.724000 1916.193000 20.999500 71.937000 72.356889 46.895097 0.000533 8.080788
59393 10 127.613000 775.715000 1926.028000 20.999500 72.210889 72.627444 47.105917 0.000522 8.053300
60417 10 127.990000 778.097000 1928.998000 20.999500 72.122000 72.543667 47.309577 0.000512 8.025148
61441 10 128.357000 777.973000 1933.791000 20.999500 72.246778 72.649556 47.515088 0.000502 7.999978
62465 10 129.150000 779.708000 1945.708000 20.999500 72.689778 72.966556 47.717070 0.000492 7.975460
63489 10 129.340000 784.499000 1949.644000 20.999500 72.916000 73.409889 47.903245 0.000483 7.946528
64513 10 129.604000 786.944000 1951.230000 20.999500 72.798889 73.203556 48.082796 0.000474 7.916959
