# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
24193443,1000000000,1
4108357,1000000000,1
2688164,1000000000,1
2137339,1000000000,1
1726382,1000000000,1
1407078,1000000000,1
1154956,1000000000,1
992273,1000000000,1
867898,1000000000,1
667032,1000000000,1
560823,1000000000,1
550443,1000000000,1
528944,1000000000,1
543831,1000000000,1
464473,1000000000,1
455492,1000000000,1
428506,1000000000,1
383762,1000000000,1
374196,1000000000,1
345513,1000000000,1
347062,1000000000,1
354985,1000000000,1
349183,1000000000,1
342339,1000000000,1
342203,1000000000,1
358141,1000000000,1
341051,1000000000,1
340856,1000000000,1
339030,1000000000,1
344281,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
24344515,800000000,1
4397756,800000000,1
2454018,800000000,1
1875961,800000000,1
1522831,800000000,1
1221445,800000000,1
1011450,800000000,1
868898,800000000,1
711968,800000000,1
690962,800000000,1
571327,800000000,1
551882,800000000,1
496961,800000000,1
437162,800000000,1
409721,800000000,1
372264,800000000,1
355015,800000000,1
376466,800000000,1
380626,800000000,1
350511,800000000,1
341323,800000000,1
356603,800000000,1
364518,800000000,1
357904,800000000,1
345556,800000000,1
352263,800000000,1
343931,800000000,1
349617,800000000,1
336756,800000000,1
349721,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
23936155,600000000,1
4118122,600000000,1
2538362,600000000,1
2037711,600000000,1
1501026,600000000,1
1235232,600000000,1
1037086,600000000,1
905943,600000000,1
750374,600000000,1
663630,600000000,1
549861,600000000,1
560666,600000000,1
496884,600000000,1
422284,600000000,1
396308,600000000,1
357349,600000000,1
348022,600000000,1
344118,600000000,1
355640,600000000,1
343410,600000000,1
340037,600000000,1
347440,600000000,1
364808,600000000,1
364605,600000000,1
340527,600000000,1
347675,600000000,1
350927,600000000,1
342119,600000000,1
356162,600000000,1
366393,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
23799531,400000000,1
4001001,400000000,1
2800595,400000000,1
2176443,400000000,1
1695916,400000000,1
1395736,400000000,1
1086374,400000000,1
950891,400000000,1
799919,400000000,1
711989,400000000,1
603024,400000000,1
567980,400000000,1
547110,400000000,1
440818,400000000,1
421381,400000000,1
381557,400000000,1
366999,400000000,1
361582,400000000,1
351764,400000000,1
356464,400000000,1
364444,400000000,1
361622,400000000,1
369749,400000000,1
371246,400000000,1
364399,400000000,1
