# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
366966,400000000,1
341964,400000000,1
342432,400000000,1
340895,400000000,1
342386,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
23812620,200000000,1
4654051,200000000,1
2726082,200000000,1
2242776,200000000,1
1775727,200000000,1
1418565,200000000,1
1212936,200000000,1
929261,200000000,1
851790,200000000,1
714034,200000000,1
549879,200000000,1
548207,200000000,1
507472,200000000,1
397441,200000000,1
381148,200000000,1
397804,200000000,1
366800,200000000,1
355893,200000000,1
359396,200000000,1
349968,200000000,1
345838,200000000,1
354769,200000000,1
351361,200000000,1
349407,200000000,1
361536,200000000,1
345322,200000000,1
337705,200000000,1
339075,200000000,1
337358,200000000,1
339426,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
24352091,0,1
4100061,0,1
2472185,0,1
2033147,0,1
1630543,0,1
1356865,0,1
1046948,0,1
954575,0,1
784348,0,1
622888,0,1
571449,0,1
536510,0,1
492988,0,1
407885,0,1
397985,0,1
368045,0,1
367963,0,1
343748,0,1
352662,0,1
332991,0,1
348593,0,1
339550,0,1
356104,0,1
367701,0,1
342089,0,1
337170,0,1
334201,0,1
343858,0,1
342929,0,1
345848,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
24301462,200000001,1
4113413,200000001,1
2653724,200000001,1
2089781,200000001,1
1754845,200000001,1
1408281,200000001,1
1195684,200000001,1
950286,200000001,1
793760,200000001,1
742903,200000001,1
624323,200000001,1
606792,200000001,1
536874,200000001,1
452343,200000001,1
401306,200000001,1
381276,200000001,1
357328,200000001,1
339623,200000001,1
349878,200000001,1
339024,200000001,1
345701,200000001,1
363944,200000001,1
344830,200000001,1
344722,200000001,1
335549,200000001,1
340511,200000001,1
343611,200000001,1
340233,200000001,1
345790,200000001,1
345023,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
24752169,400000001,1
4402334,400000001,1
2710655,400000001,1
1960842,400000001,1
1708447,400000001,1
1422221,400000001,1
1049984,400000001,1
926001,400000001,1
827930,400000001,1
662558,400000001,1
598775,400000001,1
556817,400000001,1
524228,400000001,1
467532,400000001,1
409054,400000001,1
369702,400000001,1
373267,400000001,1
348862,400000001,1
351311,400000001,1
338243,400000001,1
342144,400000001,1
348380,400000001,1
339330,400000001,1
353900,400000001,1
339987,400000001,1
344317,400000001,1
359217,400000001,1
354870,400000001,1
367024,400000001,1
359906,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
23867962,600000001,1
4403982,600000001,1
2568005,600000001,1
1989456,600000001,1
1447058,600000001,1
1182153,600000001,1
1057011,600000001,1
791004,600000001,1
783461,600000001,1
659347,600000001,1
563672,600000001,1
552129,600000001,1
470282,600000001,1
396096,600000001,1
366720,600000001,1
365044,600000001,1
343475,600000001,1
348806,600000001,1
356119,600000001,1
346772,600000001,1
360869,600000001,1
342275,600000001,1
358238,600000001,1
345597,600000001,1
347967,600000001,1
341477,600000001,1
343498,600000001,1
334915,600000001,1
339080,600000001,1
347656,600000001,1
# Hoverboard test (1048576 1 800000001)
# time(ns),sleep_time(ns),repetitions
24457947,800000001,1
4224479,800000001,1
2645025,800000001,1
1929287,800000001,1
1566074,800000001,1
1375791,800000001,1
1052371,800000001,1
810473,800000001,1
784515,800000001,1
705842,800000001,1
577842,800000001,1
552051,800000001,1
497133,800000001,1
447800,800000001,1
408538,800000001,1
389000,800000001,1
344620,800000001,1
374618,800000001,1
345881,800000001,1
341139,800000001,1
347129,800000001,1
354845,800000001,1
352200,800000001,1
350126,800000001,1
349841,800000001,1
347079,800000001,1
341406,800000001,1
335801,800000001,1
337553,800000001,1
338925,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
23821470,1000000001,1
4229743,1000000001,1
2573488,1000000001,1
2002733,1000000001,1
1674022,1000000001,1
1261532,1000000001,1
1078453,1000000001,1
886449,1000000001,1
713771,1000000001,1
661656,1000000001,1
591801,1000000001,1
580725,1000000001,1
516529,1000000001,1
407849,1000000001,1
403693,1000000001,1
362360,1000000001,1
353742,1000000001,1
345022,1000000001,1
356120,1000000001,1
349839,1000000001,1
343428,1000000001,1
342526,1000000001,1
346670,1000000001,1
360115,1000000001,1
340356,1000000001,1
343001,1000000001,1
340994,1000000001,1
339900,1000000001,1
343817,1000000001,1
353319,1000000001,1
