# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: queue1-dy-c5nmetal-1
# Release : 4.14.262-200.489.amzn2.x86_64
# Version : #1 SMP Fri Feb 4 20:34:30 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 71.994938 
# Number of iterations (recorded+unrecorded): 5114260034 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
838714661.94	1543.89
842714392.69	1542.89
846714095.45	1547.89
850713831.21	1559.89
854713548.96	1542.89
858713276.72	1553.89
862712987.47	1555.89
863059894.08	15902.88
865199923.60	11960.16
866712713.23	1692.88
870712412.99	1543.89
874239793.95	15918.88
874712149.74	1768.88
876381536.36	12152.15
878711843.50	1882.87
882711599.25	1578.89
886711305.01	1545.89
890711007.76	1561.89
894710739.52	1542.89
898710428.28	1559.89
902710175.03	1560.89
906709863.79	1561.89
910709613.54	1542.89
914709315.30	1585.89
918709042.05	1566.89
922708766.81	1544.89
926708495.57	1547.89
930708199.32	1551.89
934707928.08	3602.75
938707624.83	1575.89
942707359.59	1558.89
946707076.35	1550.89
950706785.10	1541.89
954706501.86	1559.89
958706219.61	1546.89
962705955.37	1555.89
963452817.85	15986.88
965594298.27	12016.16
966705667.12	1811.87
970705407.88	1541.89
974634244.62	16047.87
974705098.64	1763.88
976775008.09	12178.14
978704837.39	1688.88
982704534.15	1552.89
986704286.90	1554.89
990703966.66	2819.80
994703714.41	1537.89
998703409.17	1555.89
1002703151.93	1557.89
1006702838.68	1557.89
1010702555.44	1545.89
1014702297.19	1548.89
1018701991.95	1548.89
1022701727.71	1547.89
1026701433.46	1541.89
1026814603.50	16063.87
1028954735.02	12012.16
1030701172.22	1790.87
1034700866.97	1564.89
1038700606.73	1543.89
1042700325.48	1556.89
1046700052.24	3016.79
1048993236.99	16049.87
1050699763.00	1815.87
1051133804.48	11980.16
1054699498.75	1574.89
1058699190.51	1562.89
1062698943.26	2426.83
1063172417.97	15969.88
1065312268.50	12204.14
1066698619.02	1723.88
1070698380.77	1543.89
1074351503.90	15992.88
1074698085.53	1782.87
1076492517.35	12038.15
1078697797.29	1639.88
1082697504.04	1554.89
1086697217.80	1543.89
1090696949.55	1549.89
1094696655.31	1553.89
1098696396.06	1539.89
1102696079.82	2820.80
1106695830.58	1551.89
1106719675.90	16105.87
1107827582.00	12205.14
1110695538.33	1736.88
1114695268.09	1548.89
1118694962.84	1548.89
1122694700.60	1547.89
1126694421.36	1540.89
1130694159.11	1553.89
1134693852.87	3615.75
1138693598.62	3002.79
1142693287.38	2979.79
1146693044.13	3062.78
1150692717.89	2666.81
1154692444.65	1569.89
1158692157.40	3065.78
1162691865.16	1556.89
1163566023.69	16000.87
1165706175.20	12015.16
1166691621.91	1733.88
1170691303.67	1585.89
1174691046.42	1558.89
1174745449.60	15918.88
1176886675.04	12141.15
1178690745.18	1651.88
1182690493.94	1543.89
1186690180.69	1559.89
1190689926.45	2361.83
1194689618.20	1582.89
1198689357.96	1559.89
1202689060.72	1566.89
1206688814.47	1543.89
1210688501.23	1558.89
1214688259.98	2729.81
1218687953.74	1560.89
1222687641.50	1560.89
1226687389.25	1563.89
1230687081.01	1559.89
1234686828.76	1554.89
1238686526.52	1551.89
1242686266.27	1553.89
1246685977.03	1551.89
1250685716.78	1551.89
1254685425.54	1569.89
1258685149.30	1554.89
1262684862.05	1543.89
1262959073.77	16052.87
1265454765.28	11966.16
1266684599.81	1635.88
1270684303.56	2848.80
1274684045.32	1707.88
1274853433.41	15826.89
1276073333.63	11993.16
1277229047.36	15957.88
1278483926.12	12102.15
1278683718.08	1718.88
1282683429.83	1561.89
1286683182.59	1533.89
1290682862.34	1556.89
1294682605.10	1550.89
1298682312.85	1561.89
1299498593.46	15865.88
1301639454.92	12124.15
1302682037.61	1759.88
1306681761.37	1544.89
1309677578.71	16034.87
1310681475.12	1860.87
1311818019.20	11955.16
1314681176.88	1631.89
1318680935.63	2356.83
1322680640.39	1569.89
1326680368.14	2765.81
1330680062.90	1559.89
1334679809.65	1546.89
1334856112.26	16036.87
1336996556.75	11929.16
1338679521.41	1625.89
1342679215.17	1546.89
1346678936.92	1554.89
1350678663.68	1546.89
1354678387.43	1551.89
1358678096.19	1548.89
1362677830.95	1553.89
1363033858.91	15917.88
1365173534.46	12097.15
1366677519.70	1637.88
1370677276.46	1532.89
1374213418.81	15878.88
1374676979.21	1682.88
1376355360.20	12128.15
1378676721.97	1728.88
1382676399.73	2764.81
1386676151.48	1558.89
1390675838.24	1561.89
1394675588.99	1548.89
1398675296.75	1545.89
1402674998.50	3022.79
1406674740.26	1538.89
1410674484.01	1560.89
1414674168.77	1537.89
1418673865.53	1554.89
1422673595.28	1553.89
1426673307.04	1569.89
1430673035.79	1553.89
1434672746.55	1552.89
1438672486.31	2887.80
1442672181.06	1564.89
1446671934.82	2301.84
1450671642.57	1564.89
1454671364.33	1556.89
1458671080.08	311559.09
1462670813.84	2193.85
1463427295.65	16104.87
1465568671.07	12015.16
1466670511.60	1798.87
1470670201.35	2820.80
1474608544.43	15874.88
1474669963.11	1674.88
1476749774.86	12159.15
1478669692.86	1802.87
1482669384.62	1561.89
1486669089.38	1554.89
1490668821.13	1769.88
1494668523.89	2959.79
1498668275.64	1536.89
1502667967.40	1561.89
1506667704.15	1556.89
1510667419.91	1535.89
1514667162.66	1540.89
1518666857.42	1556.89
1522666604.18	1553.89
1526666281.93	1568.89
1526787798.39	16045.87
1528928530.86	11948.16
1530666022.69	1826.87
1534665722.45	1559.89
1538665454.20	1558.89
1542665171.96	1542.89
1546664901.71	1551.89
1549966112.58	16055.87
1550664607.47	2236.84
1552107057.04	11990.16
1554664318.22	1627.89
1558664057.98	1537.89
1562663754.74	1543.89
1563149874.55	16066.87
1565290194.05	12169.14
1566663490.49	1739.88
1570663198.25	1542.89
1574330039.41	16035.87
1574662933.00	3375.76
1576471866.80	12023.15
1578662617.76	1784.87
1582662380.51	1542.89
1586662079.27	1552.89
1586683238.78	15956.88
1587787629.13	12144.15
1590661795.03	1654.88
1594661518.78	1543.89
1598661242.54	1549.89
1598662864.42	2042.86
1602660947.29	1573.89
1606660634.05	2877.80
1610660396.80	1544.89
1614660084.56	3264.77
1618659830.32	1588.89
1622659530.07	1546.89
1626659263.83	1550.89
1630658971.58	1547.89
1634658706.34	1559.89
1638658422.09	1540.89
1642658143.85	1545.89
1646657846.61	1536.89
1650657593.36	1548.89
1654657291.12	1535.89
1658657014.87	1545.89
1662656718.63	3306.77
1663543695.26	16043.87
1665685196.68	12152.15
1666656442.39	1787.87
1670656174.14	1542.89
1674655863.90	1540.89
1674724559.07	16058.87
1675945993.18	12114.15
1678655619.65	1736.88
1682655343.41	25829.18
1686655041.16	1648.88
1690654743.92	1553.89
1694654502.67	1540.89
1698654197.43	1556.89
1702653939.19	2709.81
1706653618.94	1578.89
1710653372.70	1543.89
1714653072.45	1539.89
1718652817.21	2713.81
1722652517.97	1547.89
1726652259.72	1541.89
1730651947.48	1536.89
1734651701.23	1536.89
1738651389.99	1540.89
1742651086.75	1537.89
1746650827.50	1567.89
1750650522.26	1556.89
1754606500.09	16033.87
1754650259.01	2058.86
1756006473.65	12119.15
1758649958.77	1782.87
1762649718.52	1551.89
1763945464.41	16044.87
1765101415.13	11961.16
1766649410.28	1668.88
1770649145.03	1529.89
1774099629.41	15975.88
1774648839.79	2344.84
1776239561.94	12128.15
1777278969.85	15939.88
1778648574.55	1846.87
1779417565.47	12127.15
1782648274.30	1594.89
1786648014.06	1540.89
1790647729.81	1514.89
1794647481.57	1524.89
1798647160.33	1528.89
1799456525.41	15910.88
1801596841.92	12159.15
1802646870.08	1626.89
1806646593.84	1538.89
1810646308.59	1534.89
1814646048.35	1518.89
1818645753.11	1524.89
1822645482.86	1534.89
1826645174.62	1586.89
1830644936.37	3659.74
1834644623.13	1561.89
1838644373.88	1529.89
1842644059.64	1543.89
1846643810.39	1517.89
1850643516.15	1529.89
1854643232.91	1531.89
1858642951.66	1517.89
1862642686.42	1524.89
1863643768.02	16173.86
1865782310.65	12127.15
1866642388.17	1772.88
1870642136.93	1518.89
1873821846.34	15909.88
1874641811.69	1763.88
1875971922.16	12004.16
1878641539.44	1628.89
1882641266.20	1511.89
1886640965.95	2779.80
1890640702.71	1541.89
1894640401.47	1545.89
1898640151.22	1530.89
1902639839.98	1533.89
1906639577.73	1533.89
1910639286.49	1539.89
1914639032.24	1536.89
1918638727.00	1513.89
1922638474.75	1518.89
1926638180.51	1526.89
1930637907.26	1517.89
1934637610.02	1521.89
1938637319.78	1589.89
1942637048.53	2741.81
1946636747.29	1520.89
1950636495.04	1519.89
1954636172.80	1533.89
1958635940.56	2351.83
1962635619.31	1553.89
1963029325.63	16065.87
1965168810.19	12118.15
1966635372.07	1643.88
1970635052.83	1546.89
1974209864.46	16010.87
1974634809.58	1755.88
1976350130.96	11982.16
1978634521.33	1631.89
1982634233.09	1533.89
1986633941.85	1543.89
1990633676.60	1535.89
1994633371.36	1555.89
1998633117.11	2764.81
2002632822.87	1534.89
2006632534.63	1524.89
2010632263.38	1528.89
2014631965.14	1538.89
2018631707.89	1523.89
2022631418.65	1521.89
2026631141.40	1546.89
2027390064.04	15872.88
2029532083.42	12035.15
2030630842.16	1626.89
2034630582.92	1533.89
2038630292.67	1526.89
2042630038.43	1527.89
2046629724.18	1549.89
2049569736.45	16089.87
2050629452.94	1791.87
2051710961.89	12171.14
2054629159.70	2426.83
2058628904.45	1533.89
2062628612.21	1535.89
2063751131.28	16036.87
2065891697.76	12113.15
2066628318.96	1619.89
2070628031.72	1535.89
2073931471.43	15937.88
2074627738.48	1670.88
2076071044.99	11948.16
2078627483.23	1720.88
2082627173.99	1540.89
2086626918.74	2365.83
2090626631.50	1547.89
2094626359.25	1540.89
2098626057.01	1544.89
2098645674.63	16099.87
2099754250.68	12093.15
2102625804.76	1690.88
2106625503.52	1519.89
2110625240.28	2867.80
2114624946.03	1519.89
2118624700.79	1530.89
2122624373.54	1539.89
2126624131.30	1525.89
2130623815.06	1544.89
2134623577.81	1521.89
2138623256.57	1539.89
2142622954.32	1529.89
2146622719.08	1518.89
2150622410.83	1532.89
2154622160.59	1524.89
2158621848.35	1545.89
2162621581.10	1543.89
2163144538.33	16084.87
2165284813.83	11991.16
2166621274.86	3059.78
2170621021.61	1583.89
2174322806.32	15888.88
2174620718.37	1773.88
2176463595.79	12123.15
2178620454.12	1631.89
2182620169.88	1528.89
2186619903.63	1537.89
2190619604.39	1528.89
2194619338.15	1564.89
2198619038.90	1531.89
2202618773.66	1536.89
2206618498.41	1525.89
2210618195.17	1519.89
2214617933.93	2317.84
2218617628.68	1547.89
2222617379.44	2731.81
2226617063.19	1535.89
2230616816.95	1517.89
2234616508.71	1537.89
2238616252.46	1525.89
2242615935.22	1539.89
2246615691.97	1535.89
2250615384.73	1523.89
2254615130.48	1531.89
2258614835.24	1529.89
2262536027.52	15897.88
2262614531.00	1779.87
2265383052.33	12059.15
2266614271.75	1622.89
2270613979.51	1522.89
2274613694.26	1538.89
2274803476.92	15955.88
2275986457.74	12159.15
2277687923.10	16002.87
2278613408.02	1914.87
2278908547.27	11985.16
2282613148.77	1547.89
2286612853.53	1523.89
2290612596.28	1525.89
2294612279.04	1555.89
2296414469.32	15819.89
2298319697.35	12133.15
2298612038.80	1717.88
2300360196.87	16058.87
2301489702.45	12319.13
2302611726.55	3008.79
2306611452.31	1540.89
2310320049.54	15955.88
2310611175.06	1681.88
2311634473.11	12011.16
2314610895.82	1570.89
2318610609.58	1532.89
